PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
020126_195512,020126_195512,N/A,Recipe67
020226_123717,020226_123717,N/A,Recipe5
020326_223709,020326_223709,N/A,Recipe64
020426_225438,020426_225438,N/A,Recipe97
020526_065002,020526_065002,N/A,Recipe42
020626_062126,020626_062126,N/A,Recipe59
020826_032830,020826_032830,N/A,Recipe8
020826_211457,020826_211457,N/A,Recipe2
020926_123914,020926_123914,N/A,Recipe50
021126_193542,021126_193542,N/A,Recipe44
021226_142523,021226_142523,N/A,Recipe15
021426_061815,021426_061815,N/A,Recipe17
021526_233018,021526_233018,N/A,Recipe1
021626_104412,021626_104412,N/A,Recipe84
021726_135749,021726_135749,N/A,Recipe5
021926_143631,021926_143631,N/A,Recipe90
022126_050450,022126_050450,N/A,Recipe40
022326_094740,022326_094740,N/A,Recipe80
022426_222731,022426_222731,N/A,Recipe66
022726_095155,022726_095155,N/A,Recipe90
