SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_030126_170638_01,030126_170638,N/A,2026-03-01T17:06:38,2026-03-01T23:59:59,18631,10.318,1.066,0.943,0.331,0.226,0.401,0.112,0.016,0.023,0.1998,0.0206,0.0183,0.0064,0.0044,0.0078,0.0022,0.00031,0.00045
SEG_030126_170638_02,030126_170638,N/A,2026-03-02T00:00:00,2026-03-02T23:59:59,76533,35.088,4.019,3.023,1.63,0.466,1.082,0.458,0.165,0.082,0.1902,0.0218,0.0164,0.0088,0.0025,0.0059,0.0025,0.00089,0.00044
SEG_030126_170638_03,030126_170638,N/A,2026-03-03T00:00:00,2026-03-03T00:55:50,2572,1.768,0.192,0.091,0.06,0.041,0.067,0.013,0.009,0.006,0.0178,0.0019,0.0009,0.0006,0.0004,0.0007,0.0001,9e-05,6e-05
SEG_030326_101603_01,030326_101603,N/A,2026-03-03T10:16:03,2026-03-03T23:59:59,41918,24.305,3.195,1.821,0.944,0.504,1.078,0.442,0.094,0.103,0.386,0.0507,0.0289,0.015,0.008,0.0171,0.007,0.00149,0.00164
SEG_030326_101603_02,030326_101603,N/A,2026-03-04T00:00:00,2026-03-04T09:26:03,27980,18.201,2.174,1.538,0.565,0.202,0.547,0.148,0.074,0.065,0.147,0.0176,0.0124,0.0046,0.0016,0.0044,0.0012,0.0006,0.00053
SEG_030426_191215_01,030426_191215,N/A,2026-03-04T19:12:15,2026-03-04T23:59:59,15037,8.979,1.259,0.878,0.341,0.132,0.344,0.089,0.017,0.043,0.0814,0.0114,0.008,0.0031,0.0012,0.0031,0.0008,0.00015,0.00039
SEG_030426_191215_02,030426_191215,N/A,2026-03-05T00:00:00,2026-03-05T16:55:40,47877,28.377,2.923,1.824,1.099,0.347,0.886,0.383,0.074,0.118,0.1946,0.02,0.0125,0.0075,0.0024,0.0061,0.0026,0.00051,0.00081
SEG_030626_033503_01,030626_033503,N/A,2026-03-06T03:35:03,2026-03-06T23:59:59,64045,32.078,4.35,1.85,0.775,0.842,1.207,0.384,0.079,0.105,0.2419,0.0328,0.014,0.0058,0.0063,0.0091,0.0029,0.0006,0.00079
SEG_030626_033503_02,030626_033503,N/A,2026-03-07T00:00:00,2026-03-07T20:25:13,53528,22.873,3.256,1.174,0.807,0.24,0.859,0.388,0.1,0.032,0.135,0.0192,0.0069,0.0048,0.0014,0.0051,0.0023,0.00059,0.00019
SEG_030826_094134_01,030826_094134,N/A,2026-03-08T09:41:34,2026-03-08T18:20:09,24076,15.948,1.797,0.805,0.689,0.171,0.431,0.213,0.077,0.026,0.2379,0.0268,0.012,0.0103,0.0026,0.0064,0.0032,0.00115,0.00039
