SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_040126_201948_01,040126_201948,N/A,2026-04-01T20:19:48,2026-04-01T23:59:59,9671,4.047,0.479,0.285,0.155,0.063,0.084,0.036,0.019,0.014,0.0203,0.0024,0.0014,0.0008,0.0003,0.0004,0.0002,0.0001,7.00E-05
SEG_040126_201948_02,040126_201948,N/A,2026-04-02T00:00:00,2026-04-02T23:59:59,63430,43.005,5.014,3.851,1.884,0.577,1.334,0.253,0.086,0.181,0.749,0.0873,0.0671,0.0328,0.01,0.0232,0.0044,0.0015,0.00315
SEG_040126_201948_03,040126_201948,N/A,2026-04-03T00:00:00,2026-04-03T20:13:34,54748,25.242,2.9,1.706,0.705,0.707,1.046,0.184,0.066,0.036,0.4017,0.0462,0.0272,0.0112,0.0113,0.0166,0.0029,0.00105,0.00057
SEG_040426_014752_01,040426_014752,N/A,2026-04-04T01:47:52,2026-04-04T23:59:59,60051,30.29,4.129,1.907,1.424,0.889,0.619,0.252,0.134,0.07,0.293,0.0399,0.0184,0.0138,0.0086,0.006,0.0024,0.0013,0.00068
SEG_040426_014752_02,040426_014752,N/A,2026-04-05T00:00:00,2026-04-05T15:58:23,43735,22.589,3.019,1.623,0.967,0.3,0.741,0.208,0.059,0.04,0.3666,0.049,0.0263,0.0157,0.0049,0.012,0.0034,0.00096,0.00065
SEG_040526_222144_01,040526_222144,N/A,2026-04-05T22:21:44,2026-04-05T23:59:59,5214,2.467,0.313,0.22,0.065,0.032,0.074,0.022,0.009,0.011,0.027,0.0034,0.0024,0.0007,0.0004,0.0008,0.0002,0.0001,0.00012
SEG_040526_222144_02,040526_222144,N/A,2026-04-06T00:00:00,2026-04-06T23:59:59,79504,43.286,6.038,3.707,1.533,0.435,1.075,0.427,0.073,0.069,0.8638,0.1205,0.074,0.0306,0.0087,0.0215,0.0085,0.00146,0.00138
SEG_040526_222144_03,040526_222144,N/A,2026-04-07T00:00:00,2026-04-07T21:39:32,55782,36.912,5.1,2.838,1.517,0.705,0.945,0.45,0.069,0.046,0.2845,0.0393,0.0219,0.0117,0.0054,0.0073,0.0035,0.00053,0.00035
SEG_040826_094413_01,040826_094413,N/A,2026-04-08T09:44:13,2026-04-08T23:59:59,48592,26.96,2.937,2.363,0.781,0.609,1.211,0.353,0.099,0.1,0.1814,0.0198,0.0159,0.0053,0.0041,0.0081,0.0024,0.00067,0.00067
SEG_040826_094413_02,040826_094413,N/A,2026-04-09T00:00:00,2026-04-09T23:59:59,78701,40.304,5.576,3.723,1.345,0.925,1.442,0.735,0.19,0.18,0.3589,0.0497,0.0332,0.012,0.0082,0.0128,0.0065,0.00169,0.0016
SEG_040826_094413_03,040826_094413,N/A,2026-04-10T00:00:00,2026-04-10T08:36:17,28601,14.435,1.696,1.408,0.451,0.207,0.485,0.203,0.06,0.045,0.1672,0.0196,0.0163,0.0052,0.0024,0.0056,0.0024,0.0007,0.00052
SEG_041026_110828_01,041026_110828,N/A,2026-04-10T11:08:28,2026-04-10T23:59:59,34213,21.673,3.206,1.785,0.9,0.552,0.999,0.164,0.106,0.099,0.2547,0.0377,0.021,0.0106,0.0065,0.0117,0.0019,0.00125,0.00116
SEG_041026_110828_02,041026_110828,N/A,2026-04-11T00:00:00,2026-04-11T23:59:59,79968,34.653,4.971,3.014,1.653,0.498,0.961,0.393,0.072,0.153,0.469,0.0673,0.0408,0.0224,0.0067,0.013,0.0053,0.00097,0.00207
SEG_041026_110828_03,041026_110828,N/A,2026-04-12T00:00:00,2026-04-12T10:31:01,29359,20.235,2.984,1.398,0.763,0.574,0.735,0.244,0.058,0.047,0.1738,0.0256,0.012,0.0066,0.0049,0.0063,0.0021,0.0005,0.0004
SEG_041226_225849_01,041226_225849,N/A,2026-04-12T22:58:49,2026-04-12T23:59:59,3112,1.931,0.273,0.131,0.049,0.03,0.041,0.018,0.004,0.002,0.0351,0.005,0.0024,0.0009,0.0005,0.0007,0.0003,7.00E-05,4.00E-05
SEG_041226_225849_02,041226_225849,N/A,2026-04-13T00:00:00,2026-04-13T15:03:06,42181,25.193,2.644,1.445,1.098,0.736,0.854,0.216,0.124,0.07,0.2819,0.0296,0.0162,0.0123,0.0082,0.0096,0.0024,0.00139,0.00078
SEG_041326_194406_01,041326_194406,N/A,2026-04-13T19:44:06,2026-04-13T23:59:59,13827,5.973,0.823,0.489,0.215,0.065,0.268,0.048,0.029,0.012,0.0535,0.0074,0.0044,0.0019,0.0006,0.0024,0.0004,0.00026,0.00011
SEG_041326_194406_02,041326_194406,N/A,2026-04-14T00:00:00,2026-04-14T23:59:59,71131,32.123,3.338,1.664,0.908,0.803,1.419,0.534,0.074,0.089,0.5832,0.0606,0.0302,0.0165,0.0146,0.0258,0.0097,0.00134,0.00162
SEG_041326_194406_03,041326_194406,N/A,2026-04-15T00:00:00,2026-04-15T00:35:14,1979,1.157,0.133,0.107,0.028,0.02,0.031,0.021,0.002,0.002,0.0202,0.0023,0.0019,0.0005,0.0003,0.0005,0.0004,3.00E-05,3.00E-05
SEG_041526_123229_01,041526_123229,N/A,2026-04-15T12:32:29,2026-04-15T23:59:59,34075,18.689,2.657,1.007,0.727,0.275,0.451,0.099,0.078,0.065,0.2797,0.0398,0.0151,0.0109,0.0041,0.0068,0.0015,0.00117,0.00097
SEG_041526_123229_02,041526_123229,N/A,2026-04-16T00:00:00,2026-04-16T17:57:54,52763,33.755,3.599,2.069,1.393,0.417,1.129,0.511,0.084,0.071,0.3617,0.0386,0.0222,0.0149,0.0045,0.0121,0.0055,0.0009,0.00076
SEG_041626_200807_01,041626_200807,N/A,2026-04-16T20:08:07,2026-04-16T23:59:59,10002,6.666,0.788,0.375,0.18,0.083,0.239,0.128,0.032,0.012,0.0632,0.0075,0.0036,0.0017,0.0008,0.0023,0.0012,0.0003,0.00011
SEG_041626_200807_02,041626_200807,N/A,2026-04-17T00:00:00,2026-04-17T23:59:59,62609,31.447,4.681,2.678,1.454,0.373,1.487,0.449,0.044,0.126,0.1756,0.0261,0.015,0.0081,0.0021,0.0083,0.0025,0.00025,0.0007
SEG_041626_200807_03,041626_200807,N/A,2026-04-18T00:00:00,2026-04-18T17:17:24,58534,27.891,4.059,2.726,1.04,0.484,0.755,0.272,0.057,0.065,0.5482,0.0798,0.0536,0.0204,0.0095,0.0148,0.0053,0.00112,0.00128
SEG_041826_234609_01,041826_234609,N/A,2026-04-18T23:46:09,2026-04-18T23:59:59,744,0.469,0.07,0.033,0.015,0.005,0.018,0.002,0.001,0.002,0.003,0.0004,0.0002,0.0001,0,0.0001,0,1.00E-05,1.00E-05
SEG_041826_234609_02,041826_234609,N/A,2026-04-19T00:00:00,2026-04-19T23:59:59,81360,35.569,3.683,2.877,1.328,1.019,0.977,0.711,0.069,0.086,0.3758,0.0389,0.0304,0.014,0.0108,0.0103,0.0075,0.00073,0.00091
SEG_041826_234609_03,041826_234609,N/A,2026-04-20T00:00:00,2026-04-20T11:23:23,31382,14.949,2.234,1.349,0.626,0.256,0.321,0.241,0.058,0.048,0.2633,0.0393,0.0238,0.011,0.0045,0.0057,0.0042,0.00102,0.00085
SEG_042026_151705_01,042026_151705,N/A,2026-04-20T15:17:05,2026-04-20T23:59:59,27378,11.491,1.272,1.072,0.276,0.301,0.257,0.078,0.046,0.015,0.2221,0.0246,0.0207,0.0053,0.0058,0.005,0.0015,0.00089,0.00029
SEG_042026_151705_02,042026_151705,N/A,2026-04-21T00:00:00,2026-04-21T10:47:30,35118,15.301,1.962,1.425,0.403,0.181,0.647,0.1,0.028,0.016,0.1024,0.0131,0.0095,0.0027,0.0012,0.0043,0.0007,0.00019,0.00011
SEG_042126_164510_01,042126_164510,N/A,2026-04-21T16:45:10,2026-04-21T23:59:59,23902,13.861,1.545,0.739,0.572,0.201,0.304,0.271,0.067,0.018,0.1772,0.0198,0.0094,0.0073,0.0026,0.0039,0.0035,0.00086,0.00023
SEG_042126_164510_02,042126_164510,N/A,2026-04-22T00:00:00,2026-04-22T08:13:25,27499,13.561,1.55,1.244,0.344,0.264,0.385,0.254,0.049,0.049,0.2148,0.0246,0.0197,0.0054,0.0042,0.0061,0.004,0.00078,0.00078
SEG_042226_161921_01,042226_161921,N/A,2026-04-22T16:19:21,2026-04-22T21:42:28,14636,6.989,0.859,0.607,0.34,0.117,0.175,0.052,0.023,0.032,0.0894,0.011,0.0078,0.0043,0.0015,0.0022,0.0007,0.00029,0.00041
SEG_042326_032209_01,042326_032209,N/A,2026-04-23T03:22:09,2026-04-23T23:59:59,65246,31.059,3.207,2.771,1.302,0.703,1.45,0.518,0.1,0.05,0.2376,0.0245,0.0212,0.01,0.0054,0.0111,0.004,0.00077,0.00038
SEG_042326_032209_02,042326_032209,N/A,2026-04-24T00:00:00,2026-04-24T23:59:59,66324,37.074,5.414,2.903,1.669,0.559,1.032,0.671,0.068,0.081,0.2898,0.0423,0.0227,0.013,0.0044,0.0081,0.0052,0.00053,0.00063
SEG_042326_032209_03,042326_032209,N/A,2026-04-25T00:00:00,2026-04-25T02:25:09,7645,3.648,0.398,0.336,0.182,0.1,0.101,0.054,0.007,0.017,0.0531,0.0058,0.0049,0.0026,0.0015,0.0015,0.0008,0.0001,0.00025
SEG_042526_075436_01,042526_075436,N/A,2026-04-25T07:54:36,2026-04-25T23:59:59,52763,32.641,4.542,2.119,1.009,0.936,1.349,0.219,0.159,0.052,0.5105,0.071,0.0331,0.0158,0.0146,0.0211,0.0034,0.00249,0.00081
SEG_042526_075436_02,042526_075436,N/A,2026-04-26T00:00:00,2026-04-26T19:21:34,51367,23.984,3.026,2.246,1.043,0.298,1.011,0.152,0.094,0.036,0.4058,0.0512,0.038,0.0176,0.005,0.0171,0.0026,0.00159,0.00061
SEG_042726_053837_01,042726_053837,N/A,2026-04-27T05:38:37,2026-04-27T23:59:59,55359,24.27,3.144,2.302,0.541,0.63,0.921,0.485,0.116,0.078,0.4852,0.0629,0.046,0.0108,0.0126,0.0184,0.0097,0.00232,0.00156
SEG_042726_053837_02,042726_053837,N/A,2026-04-28T00:00:00,2026-04-28T13:22:21,36846,18.108,2.095,1.015,0.407,0.513,0.461,0.247,0.062,0.034,0.147,0.017,0.0082,0.0033,0.0042,0.0037,0.002,0.0005,0.00028
SEG_042826_233704_01,042826_233704,N/A,2026-04-28T23:37:04,2026-04-28T23:59:59,1261,0.706,0.101,0.039,0.03,0.011,0.024,0.012,0.001,0.003,0.0119,0.0017,0.0007,0.0005,0.0002,0.0004,0.0002,2.00E-05,5.00E-05
SEG_042826_233704_02,042826_233704,N/A,2026-04-29T00:00:00,2026-04-29T09:19:35,28149,16.18,1.884,0.852,0.511,0.197,0.381,0.178,0.067,0.022,0.2783,0.0324,0.0147,0.0088,0.0034,0.0066,0.0031,0.00115,0.00038
SEG_042926_185642_01,042926_185642,N/A,2026-04-29T18:56:42,2026-04-29T23:59:59,15009,7.668,0.843,0.481,0.319,0.185,0.301,0.046,0.021,0.036,0.0975,0.0107,0.0061,0.0041,0.0024,0.0038,0.0006,0.00027,0.00046
SEG_042926_185642_02,042926_185642,N/A,2026-04-30T00:00:00,2026-04-30T12:24:14,34406,21.061,3,1.112,0.969,0.563,0.531,0.367,0.047,0.103,0.174,0.0248,0.0092,0.008,0.0047,0.0044,0.003,0.00039,0.00085
SEG_043026_163106_01,043026_163106,N/A,2026-04-30T16:31:06,2026-04-30T23:59:59,19988,13.334,1.344,0.681,0.399,0.222,0.405,0.1,0.049,0.029,0.179,0.018,0.0091,0.0054,0.003,0.0054,0.0013,0.00066,0.00039
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
