PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
040126_201948,040126_201948,N/A,Recipe61
040426_014752,040426_014752,N/A,Recipe66
040526_222144,040526_222144,N/A,Recipe68
040826_094413,040826_094413,N/A,Recipe21
041026_110828,041026_110828,N/A,Recipe41
041226_225849,041226_225849,N/A,Recipe37
041326_194406,041326_194406,N/A,Recipe55
041526_123229,041526_123229,N/A,Recipe57
041626_200807,041626_200807,N/A,Recipe53
041826_234609,041826_234609,N/A,Recipe74
042026_151705,042026_151705,N/A,Recipe89
042126_164510,042126_164510,N/A,Recipe48
042226_161921,042226_161921,N/A,Recipe12
042326_032209,042326_032209,N/A,Recipe90
042526_075436,042526_075436,N/A,Recipe95
042726_053837,042726_053837,N/A,Recipe19
042826_233704,042826_233704,N/A,Recipe34
042926_185642,042926_185642,N/A,Recipe5
043026_163106,043026_163106,N/A,Recipe98
050126_214329,050126_214329,N/A,Recipe77
