PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
010126_151102,010126_151102,N/A,Recipe65
010226_225618,010226_225618,N/A,Recipe49
010326_115619,010326_115619,N/A,Recipe97
010526_170201,010526_170201,N/A,Recipe89
010626_144532,010626_144532,N/A,Recipe10
010826_021136,010826_021136,N/A,Recipe93
010926_183335,010926_183335,N/A,Recipe66
011026_195311,011026_195311,N/A,Recipe41
011226_095502,011226_095502,N/A,Recipe52
011326_033645,011326_033645,N/A,Recipe52
011426_212351,011426_212351,N/A,Recipe14
011626_052822,011626_052822,N/A,Recipe68
011826_031953,011826_031953,N/A,Recipe28
011926_040930,011926_040930,N/A,Recipe23
012026_020013,012026_020013,N/A,Recipe43
012026_220138,012026_220138,N/A,Recipe88
012326_081812,012326_081812,N/A,Recipe19
012426_094710,012426_094710,N/A,Recipe27
012526_232113,012526_232113,N/A,Recipe71
012826_060356,012826_060356,N/A,Recipe79
