PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
030126_170638,030126_170638,N/A,Recipe17
030326_101603,030326_101603,N/A,Recipe6
030426_191215,030426_191215,N/A,Recipe50
030626_033503,030626_033503,N/A,Recipe43
030826_094134,030826_094134,N/A,Recipe27
030826_234706,030826_234706,N/A,Recipe63
030926_133537,030926_133537,N/A,Recipe99
031026_055401,031026_055401,N/A,Recipe95
031026_235822,031026_235822,N/A,Recipe32
031226_000245,031226_000245,N/A,Recipe74
031226_175934,031226_175934,N/A,Recipe1
031326_194737,031326_194737,N/A,Recipe89
031426_035705,031426_035705,N/A,Recipe59
031526_061538,031526_061538,N/A,Recipe54
031626_205646,031626_205646,N/A,Recipe48
031826_040850,031826_040850,N/A,Recipe30
032026_081433,032026_081433,N/A,Recipe34
032126_004305,032126_004305,N/A,Recipe17
032326_023833,032326_023833,N/A,Recipe41
032426_152025,032426_152025,N/A,Recipe12
