PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
070226_012912,070226_012912,N/A,Recipe11
070426_072126,070426_072126,N/A,Recipe77
070526_015428,070526_015428,N/A,Recipe74
070526_143654,070526_143654,N/A,Recipe96
070626_225407,070626_225407,N/A,Recipe76
070826_203017,070826_203017,N/A,Recipe9
071126_015740,071126_015740,N/A,Recipe28
071226_210246,071226_210246,N/A,Recipe65
071526_005246,071526_005246,N/A,Recipe4
071526_204941,071526_204941,N/A,Recipe95
071626_061352,071626_061352,N/A,Recipe78
071726_040243,071726_040243,N/A,Recipe91
071926_032327,071926_032327,N/A,Recipe28
072026_170126,072026_170126,N/A,Recipe70
072326_020551,072326_020551,N/A,Recipe9
072426_084151,072426_084151,N/A,Recipe38
072626_060431,072626_060431,N/A,Recipe52
072626_225123,072626_225123,N/A,Recipe60
072826_223205,072826_223205,N/A,Recipe45
072926_175858,072926_175858,N/A,Recipe69
