SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_010126_151102_01,010126_151102,N/A,2026-01-01T15:11:02,2026-01-01T23:59:59,26042,14.891,1.923,1.469,0.693,0.259,0.383,0.12,0.073,0.058,0.2154,0.0278,0.0212,0.01,0.0037,0.0055,0.0017,0.00106,0.00084
SEG_010126_151102_02,010126_151102,N/A,2026-01-02T00:00:00,2026-01-02T11:59:13,36957,21.936,2.673,1.428,0.481,0.489,0.894,0.356,0.06,0.108,0.2985,0.0364,0.0194,0.0065,0.0067,0.0122,0.0048,0.00082,0.00147
SEG_010226_225618_01,010226_225618,N/A,2026-01-02T22:56:18,2026-01-02T23:59:59,2960,1.867,0.215,0.122,0.068,0.029,0.069,0.025,0.002,0.003,0.0183,0.0021,0.0012,0.0007,0.0003,0.0007,0.0002,2e-05,3e-05
SEG_010226_225618_02,010226_225618,N/A,2026-01-03T00:00:00,2026-01-03T08:41:02,22864,13.098,1.936,0.983,0.32,0.348,0.562,0.147,0.049,0.04,0.099,0.0146,0.0074,0.0024,0.0026,0.0042,0.0011,0.00037,0.0003
SEG_010326_115619_01,010326_115619,N/A,2026-01-03T11:56:19,2026-01-03T23:59:59,39438,22.123,3.205,1.483,0.869,0.391,0.866,0.156,0.044,0.096,0.3534,0.0512,0.0237,0.0139,0.0062,0.0138,0.0025,0.0007,0.00153
SEG_010326_115619_02,010326_115619,N/A,2026-01-04T00:00:00,2026-01-04T23:59:59,61320,40.483,4.207,2.433,1.629,0.867,2.019,0.773,0.086,0.063,0.6209,0.0645,0.0373,0.025,0.0133,0.031,0.0119,0.00132,0.00097
SEG_010326_115619_03,010326_115619,N/A,2026-01-05T00:00:00,2026-01-05T05:58:29,17270,11.698,1.356,0.632,0.555,0.22,0.259,0.233,0.042,0.052,0.0741,0.0086,0.004,0.0035,0.0014,0.0016,0.0015,0.00027,0.00033
SEG_010526_170201_01,010526_170201,N/A,2026-01-05T17:02:01,2026-01-05T23:59:59,20216,10.862,1.267,1.05,0.362,0.227,0.437,0.204,0.039,0.044,0.0861,0.01,0.0083,0.0029,0.0018,0.0035,0.0016,0.00031,0.00035
SEG_010526_170201_02,010526_170201,N/A,2026-01-06T00:00:00,2026-01-06T07:12:00,18452,7.851,0.792,0.748,0.279,0.116,0.179,0.131,0.008,0.016,0.1281,0.0129,0.0122,0.0046,0.0019,0.0029,0.0021,0.00013,0.00026
SEG_010626_144532_01,010626_144532,N/A,2026-01-06T14:45:32,2026-01-06T23:59:59,31021,20.344,2.24,2.013,0.85,0.593,0.911,0.2,0.042,0.043,0.3099,0.0341,0.0307,0.0129,0.009,0.0139,0.003,0.00064,0.00066
SEG_010626_144532_02,010626_144532,N/A,2026-01-07T00:00:00,2026-01-07T14:57:58,50791,31.897,4.289,2.552,0.696,0.732,1.149,0.461,0.136,0.137,0.1952,0.0262,0.0156,0.0043,0.0045,0.007,0.0028,0.00083,0.00084
SEG_010826_021136_01,010826_021136,N/A,2026-01-08T02:11:36,2026-01-08T23:59:59,70513,48.314,7.209,4.217,2.258,0.829,1.433,0.683,0.192,0.224,0.3335,0.0498,0.0291,0.0156,0.0057,0.0099,0.0047,0.00133,0.00155
SEG_010826_021136_02,010826_021136,N/A,2026-01-09T00:00:00,2026-01-09T07:06:22,19213,9.125,1.158,0.912,0.225,0.148,0.406,0.139,0.024,0.019,0.0573,0.0073,0.0057,0.0014,0.0009,0.0025,0.0009,0.00015,0.00012
SEG_010926_183335_01,010926_183335,N/A,2026-01-09T18:33:35,2026-01-09T23:59:59,16080,9.949,1.166,0.801,0.366,0.123,0.421,0.091,0.032,0.011,0.1463,0.0171,0.0118,0.0054,0.0018,0.0062,0.0013,0.00047,0.00016
SEG_010926_183335_02,010926_183335,N/A,2026-01-10T00:00:00,2026-01-10T14:13:20,39017,23.943,2.665,1.932,1.047,0.389,0.737,0.271,0.046,0.054,0.1222,0.0136,0.0099,0.0053,0.002,0.0038,0.0014,0.00023,0.00028
SEG_011026_195311_01,011026_195311,N/A,2026-01-10T19:53:11,2026-01-10T23:59:59,12215,5.114,0.551,0.369,0.175,0.112,0.206,0.034,0.02,0.006,0.0476,0.0051,0.0034,0.0016,0.001,0.0019,0.0003,0.00019,6e-05
SEG_011026_195311_02,011026_195311,N/A,2026-01-11T00:00:00,2026-01-11T23:59:59,77247,43.27,4.604,4.089,1.471,0.58,2.152,0.736,0.183,0.115,0.7879,0.0838,0.0745,0.0268,0.0106,0.0392,0.0134,0.00333,0.00209
