PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
080126_171822,080126_171822,N/A,Recipe31
080326_130233,080326_130233,N/A,Recipe82
080526_161050,080526_161050,N/A,Recipe82
080726_151420,080726_151420,N/A,Recipe75
080926_214342,080926_214342,N/A,Recipe90
081126_041305,081126_041305,N/A,Recipe74
081326_082811,081326_082811,N/A,Recipe53
081526_045813,081526_045813,N/A,Recipe47
081526_221438,081526_221438,N/A,Recipe50
081726_074253,081726_074253,N/A,Recipe19
081826_160132,081826_160132,N/A,Recipe55
081926_032654,081926_032654,N/A,Recipe24
082126_030245,082126_030245,N/A,Recipe27
082126_222406,082126_222406,N/A,Recipe73
082326_141605,082326_141605,N/A,Recipe54
082526_031514,082526_031514,N/A,Recipe20
082626_020626,082626_020626,N/A,Recipe76
082726_023147,082726_023147,N/A,Recipe41
082826_024848,082826_024848,N/A,Recipe2
082926_222127,082926_222127,N/A,Recipe48
