SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_070226_012912_01,070226_012912,N/A,2026-07-02T01:29:12,2026-07-02T23:59:59,63995,34.94,4.055,2.499,1.24,0.988,0.761,0.571,0.122,0.075,0.301,0.0349,0.0215,0.0107,0.0085,0.0066,0.0049,0.00105,0.00065
SEG_070226_012912_02,070226_012912,N/A,2026-07-03T00:00:00,2026-07-03T18:52:46,55074,28.39,3.845,2.378,1.063,0.759,1.392,0.256,0.13,0.116,0.3208,0.0435,0.0269,0.012,0.0086,0.0157,0.0029,0.00147,0.00131
SEG_070426_072126_01,070426_072126,N/A,2026-07-04T07:21:26,2026-07-04T13:54:44,16555,8.273,0.845,0.808,0.321,0.169,0.31,0.056,0.033,0.013,0.0598,0.0061,0.0058,0.0023,0.0012,0.0022,0.0004,0.00024,9e-05
SEG_070526_015428_01,070526_015428,N/A,2026-07-05T01:54:28,2026-07-05T11:41:35,25856,14.342,2.09,0.999,0.37,0.36,0.404,0.222,0.04,0.03,0.1817,0.0265,0.0127,0.0047,0.0046,0.0051,0.0028,0.00051,0.00038
SEG_070526_143654_01,070526_143654,N/A,2026-07-05T14:36:54,2026-07-05T23:59:59,28039,16.861,1.861,1.596,0.455,0.229,0.642,0.279,0.023,0.021,0.2432,0.0268,0.023,0.0066,0.0033,0.0093,0.004,0.00033,0.0003
SEG_070526_143654_02,070526_143654,N/A,2026-07-06T00:00:00,2026-07-06T18:50:04,61336,33.324,4.214,2.827,0.93,0.637,0.829,0.296,0.09,0.072,0.3374,0.0427,0.0286,0.0094,0.0065,0.0084,0.003,0.00091,0.00073
SEG_070626_225407_01,070626_225407,N/A,2026-07-06T22:54:07,2026-07-06T23:59:59,3546,2.449,0.338,0.125,0.056,0.033,0.084,0.017,0.007,0.006,0.039,0.0054,0.002,0.0009,0.0005,0.0013,0.0003,0.00011,0.0001
SEG_070626_225407_02,070626_225407,N/A,2026-07-07T00:00:00,2026-07-07T23:59:59,75422,51.513,7.682,4.541,1.851,1.467,1.041,0.842,0.202,0.101,0.8812,0.1314,0.0777,0.0317,0.0251,0.0178,0.0144,0.00346,0.00173
SEG_070626_225407_03,070626_225407,N/A,2026-07-08T00:00:00,2026-07-08T10:54:01,28351,12.786,1.597,1.202,0.58,0.206,0.48,0.085,0.043,0.032,0.1939,0.0242,0.0182,0.0088,0.0031,0.0073,0.0013,0.00065,0.00049
SEG_070826_203017_01,070826_203017,N/A,2026-07-08T20:30:17,2026-07-08T23:59:59,10767,6.116,0.814,0.524,0.151,0.151,0.246,0.061,0.013,0.02,0.0371,0.0049,0.0032,0.0009,0.0009,0.0015,0.0004,8e-05,0.00012
