SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_060226_110532_01,060226_110532,N/A,2026-06-02T11:05:32,2026-06-02T23:59:59,39719,26.57,3.952,1.705,0.778,0.462,0.984,0.196,0.084,0.074,0.4873,0.0725,0.0313,0.0143,0.0085,0.018,0.0036,0.00154,0.00136
SEG_060226_110532_02,060226_110532,N/A,2026-06-03T00:00:00,2026-06-03T23:59:59,71219,48.013,4.946,4.583,1.31,0.876,1.762,0.584,0.204,0.157,0.2887,0.0297,0.0276,0.0079,0.0053,0.0106,0.0035,0.00123,0.00094
SEG_060226_110532_03,060226_110532,N/A,2026-06-04T00:00:00,2026-06-04T00:00:58,48,0.027,0.004,0.001,0.001,0.001,0.001,0,0,0,0.0003,0,0,0,0,0,0,0,0
SEG_060426_133814_01,060426_133814,N/A,2026-06-04T13:38:14,2026-06-04T23:59:59,34151,18.758,2.299,1.127,0.735,0.506,0.497,0.296,0.024,0.091,0.2015,0.0247,0.0121,0.0079,0.0054,0.0053,0.0032,0.00026,0.00098
SEG_060426_133814_02,060426_133814,N/A,2026-06-05T00:00:00,2026-06-05T01:54:16,5896,3.208,0.393,0.307,0.129,0.043,0.086,0.027,0.004,0.005,0.0319,0.0039,0.0031,0.0013,0.0004,0.0009,0.0003,4.00E-05,5.00E-05
SEG_060526_144915_01,060526_144915,N/A,2026-06-05T14:49:15,2026-06-05T23:59:59,24216,14.811,1.654,1.114,0.637,0.385,0.425,0.226,0.058,0.071,0.2426,0.0271,0.0182,0.0104,0.0063,0.007,0.0037,0.00095,0.00116
SEG_060526_144915_02,060526_144915,N/A,2026-06-06T00:00:00,2026-06-06T22:05:19,57038,34.727,3.851,2.78,1.639,0.897,0.953,0.199,0.084,0.173,0.3696,0.041,0.0296,0.0174,0.0095,0.0101,0.0021,0.00089,0.00184
SEG_060726_013342_01,060726_013342,N/A,2026-06-07T01:33:42,2026-06-07T23:59:59,70212,35.883,5.287,2.855,1.229,0.918,1.123,0.699,0.157,0.146,0.4338,0.0639,0.0345,0.0149,0.0111,0.0136,0.0085,0.0019,0.00177
SEG_060726_013342_02,060726_013342,N/A,2026-06-08T00:00:00,2026-06-08T20:42:23,70758,36.114,4.196,2.428,1.596,0.384,0.77,0.479,0.111,0.176,0.6075,0.0706,0.0408,0.0268,0.0065,0.013,0.0081,0.00187,0.00296
SEG_060926_052501_01,060926_052501,N/A,2026-06-09T05:25:01,2026-06-09T23:59:59,57519,28.795,3.379,2.763,0.832,0.404,1.305,0.281,0.144,0.114,0.1964,0.0231,0.0188,0.0057,0.0028,0.0089,0.0019,0.00098,0.00078
SEG_060926_052501_02,060926_052501,N/A,2026-06-10T00:00:00,2026-06-10T11:56:50,35495,19.209,2.591,1.245,0.838,0.267,0.601,0.384,0.079,0.026,0.1571,0.0212,0.0102,0.0069,0.0022,0.0049,0.0031,0.00065,0.00021
SEG_061026_211004_01,061026_211004,N/A,2026-06-10T21:10:04,2026-06-10T23:59:59,7251,3.83,0.474,0.229,0.191,0.051,0.118,0.07,0.011,0.007,0.07,0.0087,0.0042,0.0035,0.0009,0.0022,0.0013,0.0002,0.00013
SEG_061026_211004_02,061026_211004,N/A,2026-06-11T00:00:00,2026-06-11T23:59:59,68278,44.429,6.283,2.673,1.469,1.022,1.147,0.626,0.071,0.186,0.2927,0.0414,0.0176,0.0097,0.0067,0.0076,0.0041,0.00047,0.00123
SEG_061026_211004_03,061026_211004,N/A,2026-06-12T00:00:00,2026-06-12T01:08:24,3400,1.495,0.172,0.098,0.033,0.024,0.033,0.014,0.007,0.004,0.0115,0.0013,0.0008,0.0003,0.0002,0.0003,0.0001,5.00E-05,3.00E-05
SEG_061226_044828_01,061226_044828,N/A,2026-06-12T04:48:28,2026-06-12T15:36:22,28281,16.029,2.236,1.023,0.61,0.224,0.48,0.088,0.079,0.056,0.0952,0.0133,0.0061,0.0036,0.0013,0.0028,0.0005,0.00047,0.00033
SEG_061326_011538_01,061326_011538,N/A,2026-06-13T01:15:38,2026-06-13T05:58:56,15146,6.378,0.748,0.319,0.142,0.065,0.168,0.064,0.013,0.009,0.0784,0.0092,0.0039,0.0017,0.0008,0.0021,0.0008,0.00016,0.00011
SEG_061326_161712_01,061326_161712,N/A,2026-06-13T16:17:12,2026-06-13T23:59:59,22457,14.426,1.529,1.233,0.441,0.284,0.646,0.256,0.018,0.026,0.1387,0.0147,0.0119,0.0042,0.0027,0.0062,0.0025,0.00017,0.00025
SEG_061326_161712_02,061326_161712,N/A,2026-06-14T00:00:00,2026-06-14T16:33:39,44648,29.06,4.265,1.565,0.749,0.419,0.941,0.242,0.051,0.067,0.3488,0.0512,0.0188,0.009,0.005,0.0113,0.0029,0.00061,0.0008
SEG_061426_211615_01,061426_211615,N/A,2026-06-14T21:16:15,2026-06-14T23:59:59,8579,5.099,0.575,0.291,0.204,0.092,0.237,0.088,0.019,0.009,0.0556,0.0063,0.0032,0.0022,0.001,0.0026,0.001,0.00021,0.0001
SEG_061426_211615_02,061426_211615,N/A,2026-06-15T00:00:00,2026-06-15T23:59:59,69675,31.851,3.726,2.875,1.129,0.679,0.882,0.6,0.143,0.056,0.1913,0.0224,0.0173,0.0068,0.0041,0.0053,0.0036,0.00086,0.00034
SEG_061426_211615_03,061426_211615,N/A,2026-06-16T00:00:00,2026-06-16T04:58:23,16068,6.981,0.995,0.582,0.263,0.125,0.187,0.083,0.022,0.009,0.1073,0.0153,0.0089,0.004,0.0019,0.0029,0.0013,0.00034,0.00014
SEG_061626_181401_01,061626_181401,N/A,2026-06-16T18:14:01,2026-06-16T23:59:59,17731,9.297,1.068,0.839,0.242,0.097,0.409,0.176,0.031,0.022,0.128,0.0147,0.0115,0.0033,0.0013,0.0056,0.0024,0.00043,0.0003
SEG_061626_181401_02,061626_181401,N/A,2026-06-17T00:00:00,2026-06-17T23:59:59,63015,36.06,4.046,2.545,1.411,0.558,1.201,0.392,0.137,0.14,0.5456,0.0612,0.0385,0.0213,0.0084,0.0182,0.0059,0.00207,0.00212
SEG_061626_181401_03,061626_181401,N/A,2026-06-18T00:00:00,2026-06-18T05:47:04,15824,9.892,1.282,0.784,0.241,0.237,0.468,0.151,0.042,0.03,0.0525,0.0068,0.0042,0.0013,0.0013,0.0025,0.0008,0.00022,0.00016
SEG_061826_175557_01,061826_175557,N/A,2026-06-18T17:55:57,2026-06-18T23:59:59,16075,9.019,1.322,0.773,0.222,0.231,0.246,0.112,0.029,0.028,0.1116,0.0164,0.0096,0.0027,0.0029,0.003,0.0014,0.00036,0.00035
SEG_061826_175557_02,061826_175557,N/A,2026-06-19T00:00:00,2026-06-19T00:23:47,1205,0.548,0.055,0.045,0.021,0.014,0.015,0.009,0.002,0.002,0.0092,0.0009,0.0008,0.0004,0.0002,0.0003,0.0002,3.00E-05,3.00E-05
SEG_061926_034150_01,061926_034150,N/A,2026-06-19T03:41:50,2026-06-19T17:14:37,34922,23.109,3.458,2.152,1.041,0.481,0.495,0.213,0.069,0.07,0.1544,0.0231,0.0144,0.007,0.0032,0.0033,0.0014,0.00046,0.00047
