SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,REAL_TOTAL_PROD,REAL_STEAM2COND,REAL_STEAM2EXTR,REAL_WATER2COND,REAL_OIL2CONDEXTR,REAL_WATER2EXTR,REAL_ADD2CONDEXTR,REAL_ADD5,REAL_ADD6,WASTE_TOTAL_PROD,WASTE_STEAM2COND,WASTE_STEAM2EXTR,WASTE_WATER2COND,WASTE_OIL2CONDEXTR,WASTE_WATER2EXTR,WASTE_ADD2CONDEXTR,WASTE_ADD5,WASTE_ADD6
SEG_020126_195512_01,020126_195512,N/A,2026-02-01T19:55:12,2026-02-01T23:59:59,11872,6.958,0.936,0.61,0.196,0.163,0.309,0.133,0.018,0.014,0.1167,0.0157,0.0102,0.0033,0.0027,0.0052,0.0022,0.0003,0.00023
SEG_020126_195512_02,020126_195512,N/A,2026-02-02T00:00:00,2026-02-02T01:51:44,5167,3.568,0.517,0.269,0.158,0.06,0.127,0.049,0.008,0.007,0.0277,0.004,0.0021,0.0012,0.0005,0.001,0.0004,6e-05,5e-05
SEG_020226_123717_01,020226_123717,N/A,2026-02-02T12:37:17,2026-02-02T23:59:59,29243,12.251,1.463,0.984,0.469,0.269,0.315,0.061,0.044,0.054,0.2266,0.0271,0.0182,0.0087,0.005,0.0058,0.0011,0.00081,0.001
SEG_020226_123717_02,020226_123717,N/A,2026-02-03T00:00:00,2026-02-03T12:07:29,41240,24.88,2.499,1.248,0.848,0.428,0.726,0.302,0.108,0.104,0.1947,0.0196,0.0098,0.0066,0.0034,0.0057,0.0024,0.00085,0.00081
SEG_020326_223709_01,020326_223709,N/A,2026-02-03T22:37:09,2026-02-03T23:59:59,4103,1.769,0.211,0.133,0.053,0.03,0.087,0.013,0.003,0.008,0.0174,0.0021,0.0013,0.0005,0.0003,0.0009,0.0001,3e-05,8e-05
SEG_020326_223709_02,020326_223709,N/A,2026-02-04T00:00:00,2026-02-04T15:16:09,49397,28.937,3.794,1.588,1.378,0.332,0.875,0.212,0.142,0.127,0.4235,0.0555,0.0232,0.0202,0.0049,0.0128,0.0031,0.00208,0.00186
SEG_020426_225438_01,020426_225438,N/A,2026-02-04T22:54:38,2026-02-04T23:59:59,2821,1.455,0.173,0.137,0.071,0.04,0.071,0.016,0.006,0.001,0.0137,0.0016,0.0013,0.0007,0.0004,0.0007,0.0002,6e-05,1e-05
SEG_020426_225438_02,020426_225438,N/A,2026-02-05T00:00:00,2026-02-05T03:56:44,13103,6.177,0.911,0.536,0.293,0.154,0.292,0.109,0.018,0.031,0.0535,0.0079,0.0046,0.0025,0.0013,0.0025,0.0009,0.00016,0.00027
SEG_020526_065002_01,020526_065002,N/A,2026-02-05T06:50:02,2026-02-05T23:59:59,58421,35.638,4.442,2.774,0.757,0.433,0.73,0.203,0.171,0.173,0.1952,0.0243,0.0152,0.0041,0.0024,0.004,0.0011,0.00094,0.00095
SEG_020526_065002_02,020526_065002,N/A,2026-02-06T00:00:00,2026-02-06T01:53:30,5833,3.434,0.507,0.179,0.083,0.063,0.072,0.041,0.004,0.008,0.0663,0.0098,0.0035,0.0016,0.0012,0.0014,0.0008,8e-05,0.00015
SEG_020626_062126_01,020626_062126,N/A,2026-02-06T06:21:26,2026-02-06T23:59:59,54433,30.415,4.44,1.848,0.645,0.674,1.433,0.472,0.135,0.094,0.349,0.0509,0.0212,0.0074,0.0077,0.0164,0.0054,0.00155,0.00108
SEG_020626_062126_02,020626_062126,N/A,2026-02-07T00:00:00,2026-02-07T20:23:44,66341,40.702,4.6,2.58,0.821,0.686,0.909,0.206,0.068,0.128,0.3063,0.0346,0.0194,0.0062,0.0052,0.0068,0.0016,0.00051,0.00096
SEG_020826_032830_01,020826_032830,N/A,2026-02-08T03:28:30,2026-02-08T08:06:09,11794,7.971,1.092,0.761,0.286,0.099,0.373,0.074,0.03,0.011,0.1523,0.0209,0.0145,0.0055,0.0019,0.0071,0.0014,0.00057,0.00021
SEG_020826_211457_01,020826_211457,N/A,2026-02-08T21:14:57,2026-02-08T23:59:59,7980,3.438,0.5,0.29,0.118,0.046,0.136,0.046,0.01,0.015,0.0596,0.0087,0.005,0.002,0.0008,0.0024,0.0008,0.00017,0.00026
SEG_020826_211457_02,020826_211457,N/A,2026-02-09T00:00:00,2026-02-09T02:28:32,7198,3.192,0.463,0.218,0.084,0.046,0.137,0.04,0.004,0.011,0.0174,0.0025,0.0012,0.0005,0.0003,0.0007,0.0002,2e-05,6e-05
SEG_020926_123914_01,020926_123914,N/A,2026-02-09T12:39:14,2026-02-09T23:59:59,31427,13.336,1.495,0.939,0.352,0.341,0.626,0.145,0.025,0.018,0.2635,0.0295,0.0186,0.007,0.0067,0.0124,0.0029,0.00049,0.00036
SEG_020926_123914_02,020926_123914,N/A,2026-02-10T00:00:00,2026-02-10T23:59:59,75606,48.625,7.284,4.22,1.808,0.801,1.304,0.372,0.231,0.145,0.849,0.1272,0.0737,0.0316,0.014,0.0228,0.0065,0.00403,0.00253
SEG_020926_123914_03,020926_123914,N/A,2026-02-11T00:00:00,2026-02-11T10:55:58,36676,23.21,3.266,1.229,1.082,0.524,0.694,0.145,0.106,0.058,0.2961,0.0417,0.0157,0.0138,0.0067,0.0089,0.0018,0.00135,0.00074
SEG_021126_193542_01,021126_193542,N/A,2026-02-11T19:35:42,2026-02-11T23:59:59,11781,6.186,0.692,0.606,0.13,0.123,0.23,0.093,0.018,0.018,0.0583,0.0065,0.0057,0.0012,0.0012,0.0022,0.0009,0.00017,0.00017
SEG_021126_193542_02,021126_193542,N/A,2026-02-12T00:00:00,2026-02-12T02:06:26,7165,3.082,0.448,0.235,0.079,0.083,0.146,0.025,0.005,0.009,0.041,0.006,0.0031,0.0011,0.0011,0.0019,0.0003,7e-05,0.00012
SEG_021226_142523_01,021226_142523,N/A,2026-02-12T14:25:23,2026-02-12T23:59:59,24433,10.882,1.56,0.926,0.449,0.184,0.37,0.162,0.029,0.033,0.1853,0.0266,0.0158,0.0076,0.0031,0.0063,0.0028,0.00049,0.00056
SEG_021226_142523_02,021226_142523,N/A,2026-02-13T00:00:00,2026-02-13T18:08:08,56666,29.63,4.251,2.461,1.001,0.811,0.859,0.264,0.056,0.048,0.4253,0.061,0.0353,0.0144,0.0116,0.0123,0.0038,0.0008,0.00069
SEG_021426_061815_01,021426_061815,N/A,2026-02-14T06:18:15,2026-02-14T23:59:59,57118,29.886,4.384,1.897,1.202,0.752,1.171,0.188,0.092,0.071,0.394,0.0578,0.025,0.0158,0.0099,0.0154,0.0025,0.00121,0.00094
SEG_021426_061815_02,021426_061815,N/A,2026-02-15T00:00:00,2026-02-15T10:26:36,26613,18.452,2.113,1.812,0.657,0.471,0.515,0.316,0.09,0.074,0.1618,0.0185,0.0159,0.0058,0.0041,0.0045,0.0028,0.00079,0.00065
SEG_021526_233018_01,021526_233018,N/A,2026-02-15T23:30:18,2026-02-15T23:59:59,1462,1.011,0.149,0.052,0.037,0.019,0.033,0.018,0.003,0.004,0.0192,0.0028,0.001,0.0007,0.0004,0.0006,0.0003,6e-05,8e-05
