PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
060226_110532,060226_110532,N/A,Recipe52
060426_133814,060426_133814,N/A,Recipe26
060526_144915,060526_144915,N/A,Recipe23
060726_013342,060726_013342,N/A,Recipe85
060926_052501,060926_052501,N/A,Recipe29
061026_211004,061026_211004,N/A,Recipe43
061226_044828,061226_044828,N/A,Recipe23
061326_011538,061326_011538,N/A,Recipe5
061326_161712,061326_161712,N/A,Recipe80
061426_211615,061426_211615,N/A,Recipe54
061626_181401,061626_181401,N/A,Recipe40
061826_175557,061826_175557,N/A,Recipe28
061926_034150,061926_034150,N/A,Recipe46
062026_070715,062026_070715,N/A,Recipe6
062226_140510,062226_140510,N/A,Recipe9
062426_074645,062426_074645,N/A,Recipe36
062526_160912,062526_160912,N/A,Recipe9
062826_000000,062826_000000,N/A,Recipe67
062926_165417,062926_165417,N/A,Recipe1
063026_201806,063026_201806,N/A,Recipe59
